carbon/osx-elcapitan-10.11;macOS_10.11
dictcp/android-x86;android_x86
ferventcoder/win2008r2-x64-nocm;windows_server-2008
ferventcoder/win2012r2-x64-nocm;windows_server-2012
gusztavvargadr/windows-10-21h2-enterprise-ltsc;windows_10-21h2
gusztavvargadr/windows-11-21h2-enterprise;windows_11-21h2
gusztavvargadr/windows-11-22h2-enterprise;windows_11-22h2
gusztavvargadr/windows-11-23h2-enterprise;windows_11-23h2
gusztavvargadr/windows-11-24h2-enterprise;windows_11-24h2
gusztavvargadr/windows-server-2019-standard-core;windows_server-2019
gusztavvargadr/windows-server-2022-standard-core;windows_server-2022
gusztavvargadr/windows-server-2025-standard-core;windows_server-2025
gusztavvargadr/windows-server-insider-preview-standard-core;windows_server-insider
jhcook/macos-sierra;macOS_10.12
jhcook/osx-yosemite-10.10;macOS_10.10
ramsey/macos-catalina;macOS_10.15
ramsey/macos-high-sierra;macOS_10.13
ramsey/macos-mojave;macOS_10.14
StefanScherer/windows_2016;windows_server-2016
