type,name,vm_name,hash,user,password,source,link
vagrant,rubenjove/ArchLinux_20240601,ArchLinux_20240601,,,,,
vagrant,timerags/alinux2,alinux_2,,,,,
vagrant,rubenjove/android-x86_4.0,android-x86_4.0,,,,,
vagrant,rubenjove/android-x86_4.4-r1,android-x86_4.4-r1,,,,,
vagrant,rubenjove/android-x86_4.4-r2,android-x86_4.4-r2,,,,,
vagrant,rubenjove/android-x86_4.4-r4,android-x86_4.4-r4,,,,,
vagrant,rubenjove/android-x86_4.4-r5,android-x86_4.4-r5,,,,,
vagrant,rubenjove/android-x86_5.1,android-x86_5.1,,,,,
vagrant,rubenjove/android-x86_6.0,android-x86_6.0,,,,,
vagrant,rubenjove/android-x86_7.0,android-x86_7.0,,,,,
vagrant,rubenjove/android-x86_7.1-r1,android-x86_7.1-r1,,,,,
vagrant,rubenjove/android-x86_7.1-r3,android-x86_7.1-r3,,,,,
vagrant,rubenjove/android-x86_7.1-r5,android-x86_7.1-r5,,,,,
vagrant,rubenjove/android-x86_8.1-r2,android-x86_8.1-r2,,,,,
vagrant,rubenjove/android-x86_8.1-r3,android-x86_8.1-r3,,,,,
vagrant,rubenjove/android-x86_8.1-r4,android-x86_8.1-r4,,,,,
vagrant,rubenjove/android-x86_8.1-r5,android-x86_8.1-r5,,,,,
vagrant,rubenjove/android-x86_8.1-r6,android-x86_8.1-r6,,,,,
vagrant,rubenjove/android-x86_8.1-rc1,android-x86_8.1-rc1,,,,,
vagrant,rubenjove/android-x86_9.0-r1,android-x86_9.0-r1,,,,,
vagrant,rubenjove/android-x86_9.0-r2,android-x86_9.0-r2,,,,,
vagrant,dictcp/android-x86,android_x86,,,,,
vagrant,centos/7,centos_7,,,,,
vagrant,centos/8,centos_8,,,,,
vagrant,centos/stream9,centos_stream_9,,,,,
vagrant,debian/bookworm64,debian_bookworm64,,,,,
vagrant,debian/bullseye64,debian_bullseye64,,,,,
vagrant,debian/buster64,debian_buster64,,,,,
vagrant,rubenjove/debian_stretch64,debian_stretch64,,,,,
vagrant,generic/fedora28,fedora_28,,,,,
vagrant,bento/fedora-40,fedora_40,,,,,
vagrant,generic/freebsd11,freebsd_11,,,,,
vagrant,generic/freebsd12,freebsd_12,,,,,
vagrant,generic/freebsd13,freebsd_13,,,,,
vagrant,generic/freebsd14,freebsd_14,,,,,
vagrant,elrey741/kali-linux_amd64,kali_linux_amd64,,,,,
vagrant,rubenjove/linuxmint_21.2_desktop,linuxmint_21.2_desktop,,,,,
vagrant,aaronvonawesome/linux-mint-21-cinnamon,linuxmint_21cinnamon,,,,,
vagrant,jhcook/osx-yosemite-10.10,macOS_10.10,,,,,
vagrant,carbon/osx-elcapitan-10.11,macOS_10.11,,,,,
vagrant,jhcook/macos-sierra,macOS_10.12,,,,,
vagrant,ramsey/macos-high-sierra,macOS_10.13,,,,,
vagrant,rubenjove/macOS_10.14,macOS_10.14,,,,,
vagrant,rubenjove/macOS_10.15,macOS_10.15,,,,,
vagrant,rubenjove/manjaro_21,manjaro_21.0,,,,,
vagrant,rubenjove/manjaro_22,manjaro_22.0,,,,,
vagrant,fnichol/openbsd-6.8,openbsd_6.8,,,,,
vagrant,fnichol/openbsd-7.0,openbsd_7.0,,,,,
vagrant,fnichol/openbsd-7.2,openbsd_7.2,,,,,
vagrant,fnichol/openbsd-7.4,openbsd_7.4,,,,,
vagrant,rubenjove/opensuse_15.2,opensuse_leap-15.2,,,,,
vagrant,rubenjove/opensuse_15.3,opensuse_leap-15.3,,,,,
vagrant,rubenjove/opensuse-15.4,opensuse_leap-15.4,,,,,
vagrant,generic/rhel7,rhel_7,,,,,
vagrant,generic/rhel8,rhel_8,,,,,
vagrant,generic/rhel9,rhel_9,,,,,
vagrant,ubuntu/bionic64,ubuntu_bionic64,,,,,
vagrant,ubuntu/focal64,ubuntu_focal64,,,,,
vagrant,ubuntu/jammy64,ubuntu_jammy64,,,,,
vagrant,generic/ubuntu2310,ubuntu_mantic64,,,,,
vagrant,rubenjove/ubuntu_trusty64,ubuntu_trusty64,,,,,
vagrant,rubenjove/ubuntu_xenial,ubuntu_xenial64,,,,,
vagrant,gusztavvargadr/windows-10,windows_10,,,,,
vagrant,rubenjove/windows_10-21h2,windows_10-21h2,,,,,
vagrant,gusztavvargadr/windows-11,windows_11,,,,,
vagrant,gusztavvargadr/windows-11-21h2-enterprise,windows_11-21h2,,,,,
vagrant,gusztavvargadr/windows-11-22h2-enterprise,windows_11-22h2,,,,,
vagrant,gusztavvargadr/windows-11-23h2-enterprise,windows_11-23h2,,,,,
vagrant,gusztavvargadr/windows-11-24h2-enterprise,windows_11-24h2,,,,,
vagrant,ferventcoder/win2008r2-x64-nocm,windows_server-2008,,,,,
vagrant,ferventcoder/win2012r2-x64-nocm,windows_server-2012,,,,,
vagrant,StefanScherer/windows_2016,windows_server-2016,,,,,
vagrant,gusztavvargadr/windows-server-2019-standard-core,windows_server-2019,,,,,
vagrant,gusztavvargadr/windows-server-2022-standard-core,windows_server-2022,,,,,
vagrant,gusztavvargadr/windows-server-2025-standard-core,windows_server-2025,,,,,
vagrant,gusztavvargadr/windows-server-insider-preview-standard-core,windows_server-insider,,,,,
